GlobalTracer.FirstPowerUp_Info: Thu Apr 05 15:06:17 PDT 2018[0.057]: ***** AUTO_MODE *****
GlobalTracer.Vision_Info: Pixy is enabled!
GlobalTracer.FirstPowerUp_Info: _None000 (Blue3) [FMSConnected=true] msg=LRL
GlobalTracer.CmdAutoSwitch_Info: [0.126] delay=0.0, fwdDistance=235.0, startPos=RIGHT_POS, fastDelivery=false, getSecondCube=false
GlobalTracer.printPidInfo_Info: [3.566] encoderYPidCtrl: Target=-235.0, Input=  -2.1, Error=-232.9, PIDTerms=-4.658/ 0.000/ 0.000/-0.000, Output=-0.600(-0.600/0.600), Volt=10.1(9.9)
GlobalTracer.printPidInfo_Info: [3.566] gyroTurnPidCtrl: Target=   0.0, Input=   0.1, Error=  -0.1, PIDTerms=-0.001/ 0.000/ 0.000/ 0.000, Output=-0.001(-0.700/0.700), Volt=10.1(9.9)
GlobalTracer.printPidInfo_Info: [3.616] encoderXPidCtrl: Target=   0.0, Input=  -0.4, Error=   0.4, PIDTerms= 0.109/ 0.000/ 0.000/ 0.000, Output= 0.109(-0.700/0.700), Volt=10.1(9.9)
GlobalTracer.printPidInfo_Info: [3.616] encoderYPidCtrl: Target=-235.0, Input=  -2.1, Error=-232.9, PIDTerms=-4.658/ 0.000/ 0.000/-0.000, Output=-0.600(-0.600/0.600), Volt=10.1(9.9)
GlobalTracer.printPidInfo_Info: [3.616] gyroTurnPidCtrl: Target=   0.0, Input=   0.1, Error=  -0.1, PIDTerms=-0.001/ 0.000/-0.000/ 0.000, Output=-0.002(-0.700/0.700), Volt=10.1(9.9)
GlobalTracer.printPidInfo_Info: [3.646] encoderXPidCtrl: Target=   0.0, Input=  -0.4, Error=   0.4, PIDTerms= 0.109/ 0.000/ 0.000/ 0.000, Output= 0.109(-0.700/0.700), Volt=10.0(9.9)
GlobalTracer.printPidInfo_Info: [3.646] encoderYPidCtrl: Target=-235.0, Input=  -2.1, Error=-232.9, PIDTerms=-4.658/ 0.000/ 0.000/-0.000, Output=-0.600(-0.600/0.600), Volt=10.0(9.9)
GlobalTracer.printPidInfo_Info: [3.646] gyroTurnPidCtrl: Target=   0.0, Input=   0.1, Error=  -0.1, PIDTerms=-0.001/ 0.000/ 0.000/ 0.000, Output=-0.001(-0.700/0.700), Volt=10.0(9.9)
GlobalTracer.printPidInfo_Info: [3.685] encoderXPidCtrl: Target=   0.0, Input=  -0.4, Error=   0.4, PIDTerms= 0.109/ 0.000/ 0.000/ 0.000, Output= 0.109(-0.700/0.700), Volt=9.9(9.9)
GlobalTracer.printPidInfo_Info: [3.685] encoderYPidCtrl: Target=-235.0, Input=  -2.1, Error=-232.9, PIDTerms=-4.658/ 0.000/ 0.000/-0.000, Output=-0.600(-0.600/0.600), Volt=9.9(9.9)
GlobalTracer.printPidInfo_Info: [3.685] gyroTurnPidCtrl: Target=   0.0, Input=   0.1, Error=  -0.1, PIDTerms=-0.001/ 0.000/ 0.000/ 0.000, Output=-0.001(-0.700/0.700), Volt=9.9(9.9)
GlobalTracer.printPidInfo_Info: [3.723] encoderXPidCtrl: Target=   0.0, Input=  -0.4, Error=   0.4, PIDTerms= 0.110/ 0.000/ 0.001/ 0.000, Output= 0.111(-0.700/0.700), Volt=10.1(9.9)
GlobalTracer.printPidInfo_Info: [3.723] encoderYPidCtrl: Target=-235.0, Input=  -2.1, Error=-232.9, PIDTerms=-4.658/ 0.000/ 0.000/-0.000, Output=-0.600(-0.600/0.600), Volt=10.1(9.9)
GlobalTracer.printPidInfo_Info: [3.723] gyroTurnPidCtrl: Target=   0.0, Input=   0.1, Error=  -0.1, PIDTerms=-0.001/ 0.000/-0.000/ 0.000, Output=-0.002(-0.700/0.700), Volt=10.2(9.9)
GlobalTracer.printPidInfo_Info: [3.760] encoderXPidCtrl: Target=   0.0, Input=  -0.4, Error=   0.4, PIDTerms= 0.110/ 0.000/ 0.000/ 0.000, Output= 0.110(-0.700/0.700), Volt=10.0(9.9)
GlobalTracer.printPidInfo_Info: [3.760] encoderYPidCtrl: Target=-235.0, Input=  -2.1, Error=-232.9, PIDTerms=-4.658/ 0.000/ 0.000/-0.000, Output=-0.600(-0.600/0.600), Volt=10.0(9.9)
GlobalTracer.printPidInfo_Info: [3.760] gyroTurnPidCtrl: Target=   0.0, Input=   0.1, Error=  -0.1, PIDTerms=-0.001/ 0.000/ 0.000/ 0.000, Output=-0.001(-0.700/0.700), Volt=10.0(9.9)
GlobalTracer.printPidInfo_Info: [3.798] encoderXPidCtrl: Target=   0.0, Input=  -0.4, Error=   0.4, PIDTerms= 0.110/ 0.000/ 0.000/ 0.000, Output= 0.110(-0.700/0.700), Volt=10.1(9.9)
GlobalTracer.printPidInfo_Info: [3.798] encoderYPidCtrl: Target=-235.0, Input=  -2.1, Error=-232.9, PIDTerms=-4.658/ 0.000/ 0.000/-0.000, Output=-0.600(-0.600/0.600), Volt=10.1(9.9)
GlobalTracer.printPidInfo_Info: [3.798] gyroTurnPidCtrl: Target=   0.0, Input=   0.1, Error=  -0.1, PIDTerms=-0.001/ 0.000/ 0.000/ 0.000, Output=-0.001(-0.700/0.700), Volt=10.1(9.9)
GlobalTracer.printPidInfo_Info: [3.825] encoderXPidCtrl: Target=   0.0, Input=  -0.4, Error=   0.4, PIDTerms= 0.110/ 0.000/ 0.000/ 0.000, Output= 0.110(-0.700/0.700), Volt=10.1(9.9)
GlobalTracer.printPidInfo_Info: [3.825] encoderYPidCtrl: Target=-235.0, Input=  -2.1, Error=-232.9, PIDTerms=-4.658/ 0.000/ 0.000/-0.000, Output=-0.600(-0.600/0.600), Volt=10.1(9.9)
GlobalTracer.printPidInfo_Info: [3.825] gyroTurnPidCtrl: Target=   0.0, Input=   0.1, Error=  -0.1, PIDTerms=-0.001/ 0.000/ 0.000/ 0.000, Output=-0.001(-0.700/0.700), Volt=10.1(9.9)
GlobalTracer.printPidInfo_Info: [3.863] encoderXPidCtrl: Target=   0.0, Input=  -0.4, Error=   0.4, PIDTerms= 0.110/ 0.000/ 0.000/ 0.000, Output= 0.110(-0.700/0.700), Volt=10.0(9.9)
GlobalTracer.printPidInfo_Info: [3.863] encoderYPidCtrl: Target=-235.0, Input=  -2.1, Error=-232.9, PIDTerms=-4.658/ 0.000/ 0.000/-0.000, Output=-0.600(-0.600/0.600), Volt=10.0(9.9)
GlobalTracer.printPidInfo_Info: [3.863] gyroTurnPidCtrl: Target=   0.0, Input=   0.1, Error=  -0.1, PIDTerms=-0.001/ 0.000/ 0.000/ 0.000, Output=-0.001(-0.700/0.700), Volt=10.0(9.9)
GlobalTracer.printPidInfo_Info: [3.898] encoderXPidCtrl: Target=   0.0, Input=  -0.4, Error=   0.4, PIDTerms= 0.110/ 0.000/ 0.000/ 0.000, Output= 0.110(-0.700/0.700), Volt=10.1(9.9)
GlobalTracer.printPidInfo_Info: [3.898] encoderYPidCtrl: Target=-235.0, Input=  -2.1, Error=-232.9, PIDTerms=-4.658/ 0.000/ 0.000/-0.000, Output=-0.600(-0.600/0.600), Volt=10.1(9.9)
GlobalTracer.printPidInfo_Info: [3.898] gyroTurnPidCtrl: Target=   0.0, Input=   0.1, Error=  -0.1, PIDTerms=-0.001/ 0.000/ 0.000/ 0.000, Output=-0.001(-0.700/0.700), Volt=10.1(9.9)
GlobalTracer.printPidInfo_Info: [3.939] encoderXPidCtrl: Target=   0.0, Input=  -0.4, Error=   0.4, PIDTerms= 0.110/ 0.000/ 0.000/ 0.000, Output= 0.110(-0.700/0.700), Volt=10.1(9.9)
GlobalTracer.printPidInfo_Info: [3.939] encoderYPidCtrl: Target=-235.0, Input=  -2.1, Error=-232.9, PIDTerms=-4.658/ 0.000/ 0.000/-0.000, Output=-0.600(-0.600/0.600), Volt=10.1(9.9)
GlobalTracer.printPidInfo_Info: [3.939] gyroTurnPidCtrl: Target=   0.0, Input=   0.1, Error=  -0.1, PIDTerms=-0.001/ 0.000/ 0.000/ 0.000, Output=-0.001(-0.700/0.700), Volt=10.1(9.9)
GlobalTracer.printPidInfo_Info: [3.968] encoderXPidCtrl: Target=   0.0, Input=  -0.4, Error=   0.4, PIDTerms= 0.110/ 0.000/ 0.000/ 0.000, Output= 0.110(-0.700/0.700), Volt=10.0(9.9)
GlobalTracer.printPidInfo_Info: [3.968] encoderYPidCtrl: Target=-235.0, Input=  -2.1, Error=-232.9, PIDTerms=-4.658/ 0.000/ 0.000/-0.000, Output=-0.600(-0.600/0.600), Volt=10.0(9.9)
GlobalTracer.printPidInfo_Info: [3.968] gyroTurnPidCtrl: Target=   0.0, Input=   0.1, Error=  -0.1, PIDTerms=-0.001/ 0.000/ 0.000/ 0.000, Output=-0.001(-0.700/0.700), Volt=10.0(9.9)
GlobalTracer.printPidInfo_Info: [4.004] encoderXPidCtrl: Target=   0.0, Input=  -0.4, Error=   0.4, PIDTerms= 0.110/ 0.000/ 0.000/ 0.000, Output= 0.110(-0.700/0.700), Volt=10.0(9.9)
GlobalTracer.printPidInfo_Info: [4.004] encoderYPidCtrl: Target=-235.0, Input=  -2.1, Error=-232.9, PIDTerms=-4.658/ 0.000/ 0.000/-0.000, Output=-0.600(-0.600/0.600), Volt=10.0(9.9)
GlobalTracer.printPidInfo_Info: [4.004] gyroTurnPidCtrl: Target=   0.0, Input=   0.1, Error=  -0.1, PIDTerms=-0.001/ 0.000/ 0.000/ 0.000, Output=-0.001(-0.700/0.700), Volt=10.0(9.9)
GlobalTracer.printPidInfo_Info: [4.042] encoderXPidCtrl: Target=   0.0, Input=  -0.4, Error=   0.4, PIDTerms= 0.110/ 0.000/ 0.000/ 0.000, Output= 0.110(-0.700/0.700), Volt=10.0(9.9)
GlobalTracer.printPidInfo_Info: [4.042] encoderYPidCtrl: Target=-235.0, Input=  -2.1, Error=-232.9, PIDTerms=-4.658/ 0.000/ 0.000/-0.000, Output=-0.600(-0.600/0.600), Volt=10.0(9.9)
GlobalTracer.printPidInfo_Info: [4.042] gyroTurnPidCtrl: Target=   0.0, Input=   0.1, Error=  -0.1, PIDTerms=-0.001/ 0.000/ 0.000/ 0.000, Output=-0.001(-0.700/0.700), Volt=10.0(9.9)
GlobalTracer.printPidInfo_Info: [4.079] encoderXPidCtrl: Target=   0.0, Input=  -0.4, Error=   0.4, PIDTerms= 0.110/ 0.000/ 0.001/ 0.000, Output= 0.112(-0.700/0.700), Volt=10.0(9.9)
GlobalTracer.printPidInfo_Info: [4.079] encoderYPidCtrl: Target=-235.0, Input=  -2.1, Error=-232.9, PIDTerms=-4.658/ 0.000/ 0.000/-0.000, Output=-0.600(-0.600/0.600), Volt=10.0(9.9)
GlobalTracer.printPidInfo_Info: [4.079] gyroTurnPidCtrl: Target=   0.0, Input=   0.1, Error=  -0.1, PIDTerms=-0.001/ 0.000/-0.001/ 0.000, Output=-0.002(-0.700/0.700), Volt=10.0(9.9)
GlobalTracer.printPidInfo_Info: [4.117] encoderXPidCtrl: Target=   0.0, Input=  -0.4, Error=   0.4, PIDTerms= 0.110/ 0.000/ 0.000/ 0.000, Output= 0.110(-0.700/0.700), Volt=10.0(9.9)
GlobalTracer.printPidInfo_Info: [4.117] encoderYPidCtrl: Target=-235.0, Input=  -2.1, Error=-232.9, PIDTerms=-4.658/ 0.000/ 0.000/-0.000, Output=-0.600(-0.600/0.600), Volt=10.1(9.9)
GlobalTracer.printPidInfo_Info: [4.117] gyroTurnPidCtrl: Target=   0.0, Input=   0.1, Error=  -0.1, PIDTerms=-0.001/ 0.000/ 0.000/ 0.000, Output=-0.001(-0.700/0.700), Volt=10.1(9.9)
GlobalTracer.printPidInfo_Info: [4.175] encoderXPidCtrl: Target=   0.0, Input=  -0.4, Error=   0.4, PIDTerms= 0.110/ 0.000/ 0.000/ 0.000, Output= 0.110(-0.700/0.700), Volt=10.0(9.9)
GlobalTracer.printPidInfo_Info: [4.175] encoderYPidCtrl: Target=-235.0, Input=  -2.1, Error=-232.9, PIDTerms=-4.658/ 0.000/ 0.000/-0.000, Output=-0.600(-0.600/0.600), Volt=10.1(9.9)
GlobalTracer.printPidInfo_Info: [4.175] gyroTurnPidCtrl: Target=   0.0, Input=   0.1, Error=  -0.1, PIDTerms=-0.001/ 0.000/ 0.000/ 0.000, Output=-0.001(-0.700/0.700), Volt=10.1(9.9)
GlobalTracer.printPidInfo_Info: [4.228] encoderXPidCtrl: Target=   0.0, Input=  -0.4, Error=   0.4, PIDTerms= 0.110/ 0.000/ 0.000/ 0.000, Output= 0.110(-0.700/0.700), Volt=10.1(9.9)
GlobalTracer.printPidInfo_Info: [4.228] encoderYPidCtrl: Target=-235.0, Input=  -2.1, Error=-232.9, PIDTerms=-4.658/ 0.000/ 0.000/-0.000, Output=-0.600(-0.600/0.600), Volt=10.1(9.9)
GlobalTracer.printPidInfo_Info: [4.228] gyroTurnPidCtrl: Target=   0.0, Input=   0.1, Error=  -0.1, PIDTerms=-0.001/ 0.000/ 0.000/ 0.000, Output=-0.001(-0.700/0.700), Volt=10.1(9.9)
GlobalTracer.printPidInfo_Info: [4.284] encoderXPidCtrl: Target=   0.0, Input=  -0.4, Error=   0.4, PIDTerms= 0.110/ 0.000/ 0.000/ 0.000, Output= 0.110(-0.700/0.700), Volt=10.1(9.9)
GlobalTracer.printPidInfo_Info: [4.284] encoderYPidCtrl: Target=-235.0, Input=  -2.1, Error=-232.9, PIDTerms=-4.658/ 0.000/ 0.000/-0.000, Output=-0.600(-0.600/0.600), Volt=10.1(9.9)
GlobalTracer.printPidInfo_Info: [4.284] gyroTurnPidCtrl: Target=   0.0, Input=   0.1, Error=  -0.1, PIDTerms=-0.001/ 0.000/ 0.000/ 0.000, Output=-0.001(-0.700/0.700), Volt=10.1(9.9)
GlobalTracer.printPidInfo_Info: [4.343] encoderXPidCtrl: Target=   0.0, Input=  -0.4, Error=   0.4, PIDTerms= 0.110/ 0.000/ 0.000/ 0.000, Output= 0.110(-0.700/0.700), Volt=10.1(9.9)
GlobalTracer.printPidInfo_Info: [4.343] encoderYPidCtrl: Target=-235.0, Input=  -2.1, Error=-232.9, PIDTerms=-4.658/ 0.000/ 0.000/-0.000, Output=-0.600(-0.600/0.600), Volt=10.1(9.9)
GlobalTracer.printPidInfo_Info: [4.343] gyroTurnPidCtrl: Target=   0.0, Input=   0.1, Error=  -0.1, PIDTerms=-0.001/ 0.000/ 0.000/ 0.000, Output=-0.001(-0.700/0.700), Volt=10.1(9.9)
GlobalTracer.printPidInfo_Info: [4.400] encoderXPidCtrl: Target=   0.0, Input=  -0.4, Error=   0.4, PIDTerms= 0.110/ 0.000/ 0.000/ 0.000, Output= 0.110(-0.700/0.700), Volt=10.1(9.9)
GlobalTracer.printPidInfo_Info: [4.400] encoderYPidCtrl: Target=-235.0, Input=  -2.1, Error=-232.9, PIDTerms=-4.658/ 0.000/ 0.000/-0.000, Output=-0.600(-0.600/0.600), Volt=10.1(9.9)
GlobalTracer.printPidInfo_Info: [4.400] gyroTurnPidCtrl: Target=   0.0, Input=   0.1, Error=  -0.1, PIDTerms=-0.001/ 0.000/ 0.000/ 0.000, Output=-0.001(-0.700/0.700), Volt=10.1(9.9)
GlobalTracer.printPidInfo_Info: [4.457] encoderXPidCtrl: Target=   0.0, Input=  -0.4, Error=   0.4, PIDTerms= 0.110/ 0.000/ 0.000/ 0.000, Output= 0.110(-0.700/0.700), Volt=10.0(9.9)
GlobalTracer.printPidInfo_Info: [4.457] encoderYPidCtrl: Target=-235.0, Input=  -2.1, Error=-232.9, PIDTerms=-4.658/ 0.000/ 0.000/-0.000, Output=-0.600(-0.600/0.600), Volt=10.1(9.9)
GlobalTracer.printPidInfo_Info: [4.457] gyroTurnPidCtrl: Target=   0.0, Input=   0.1, Error=  -0.1, PIDTerms=-0.001/ 0.000/ 0.000/ 0.000, Output=-0.001(-0.700/0.700), Volt=10.1(9.9)
GlobalTracer.printPidInfo_Info: [4.515] encoderXPidCtrl: Target=   0.0, Input=  -0.4, Error=   0.4, PIDTerms= 0.110/ 0.000/ 0.000/ 0.000, Output= 0.110(-0.700/0.700), Volt=10.1(9.9)
GlobalTracer.printPidInfo_Info: [4.515] encoderYPidCtrl: Target=-235.0, Input=  -2.1, Error=-232.9, PIDTerms=-4.658/ 0.000/ 0.000/-0.000, Output=-0.600(-0.600/0.600), Volt=10.1(9.9)
GlobalTracer.printPidInfo_Info: [4.515] gyroTurnPidCtrl: Target=   0.0, Input=   0.1, Error=  -0.1, PIDTerms=-0.001/ 0.000/ 0.000/ 0.000, Output=-0.001(-0.700/0.700), Volt=10.1(9.9)
GlobalTracer.postContinuousTask_Info: Stalled=true, Expired=false
GlobalTracer.Robot_Info: [4.577] <<<  TURN_TO_SWITCH>>> xPos= -0.44,yPos= -2.10,heading=   0.1/  90.0,volts=12.3(9.9)
GlobalTracer.printPidInfo_Info: [4.577] encoderXPidCtrl: Target=  -0.4, Input=  -0.4, Error=   0.0, PIDTerms= 0.110/ 0.000/ 0.000/ 0.000, Output= 0.000(-0.700/0.700), Volt=12.3(9.9)
GlobalTracer.printPidInfo_Info: [4.577] encoderYPidCtrl: Target=  -2.1, Input=  -2.1, Error=   0.0, PIDTerms=-4.658/ 0.000/ 0.000/-0.000, Output= 0.000(-0.600/0.600), Volt=12.3(9.9)
GlobalTracer.printPidInfo_Info: [4.577] gyroTurnPidCtrl: Target=  90.0, Input=   0.1, Error=  89.9, PIDTerms=-0.001/ 0.000/ 0.000/ 0.000, Output= 0.000(-0.700/0.700), Volt=12.4(9.9)
GlobalTracer.printPidInfo_Info: [4.660] encoderXPidCtrl: Target=  -0.4, Input=  -0.4, Error=   0.0, PIDTerms= 0.110/ 0.000/ 0.000/ 0.000, Output= 0.000(-0.700/0.700), Volt=10.5(9.9)
GlobalTracer.printPidInfo_Info: [4.660] encoderYPidCtrl: Target=  -2.1, Input=  -2.1, Error=   0.0, PIDTerms=-4.658/ 0.000/ 0.000/-0.000, Output= 0.000(-0.600/0.600), Volt=10.4(9.9)
GlobalTracer.printPidInfo_Info: [4.660] gyroTurnPidCtrl: Target=  90.0, Input=   0.1, Error=  89.9, PIDTerms= 1.799/ 0.000/ 0.000/ 0.000, Output= 0.700(-0.700/0.700), Volt=10.4(9.9)
GlobalTracer.startCompetition_Warn: AUTO_MODE.runContinuous takes too long (0.041s)
GlobalTracer.printPidInfo_Info: [4.741] encoderXPidCtrl: Target=  -0.4, Input=  -0.4, Error=   0.0, PIDTerms= 0.110/ 0.000/ 0.000/ 0.000, Output= 0.000(-0.700/0.700), Volt=10.3(9.9)
GlobalTracer.printPidInfo_Info: [4.741] encoderYPidCtrl: Target=  -2.1, Input=  -2.1, Error=   0.0, PIDTerms=-4.658/ 0.000/ 0.000/-0.000, Output= 0.000(-0.600/0.600), Volt=10.2(9.9)
GlobalTracer.printPidInfo_Info: [4.741] gyroTurnPidCtrl: Target=  90.0, Input=   0.1, Error=  89.9, PIDTerms= 1.798/ 0.000/-0.001/ 0.000, Output= 0.700(-0.700/0.700), Volt=10.2(9.9)
GlobalTracer.startCompetition_Warn: AUTO_MODE.runContinuous takes too long (0.041s)
GlobalTracer.printPidInfo_Info: [4.821] encoderXPidCtrl: Target=  -0.4, Input=  -0.4, Error=   0.0, PIDTerms= 0.110/ 0.000/ 0.000/ 0.000, Output= 0.000(-0.700/0.700), Volt=10.5(9.9)
GlobalTracer.printPidInfo_Info: [4.821] encoderYPidCtrl: Target=  -2.1, Input=  -2.1, Error=   0.0, PIDTerms=-4.658/ 0.000/ 0.000/-0.000, Output= 0.000(-0.600/0.600), Volt=10.4(9.9)
GlobalTracer.printPidInfo_Info: [4.821] gyroTurnPidCtrl: Target=  90.0, Input=   2.4, Error=  87.6, PIDTerms= 1.753/ 0.000/-0.050/ 0.000, Output= 0.700(-0.700/0.700), Volt=10.4(9.9)
GlobalTracer.printPidInfo_Info: [4.887] encoderXPidCtrl: Target=  -0.4, Input=  -0.4, Error=   0.0, PIDTerms= 0.110/ 0.000/ 0.000/ 0.000, Output= 0.000(-0.700/0.700), Volt=10.5(9.9)
GlobalTracer.printPidInfo_Info: [4.887] encoderYPidCtrl: Target=  -2.1, Input=  -2.1, Error=   0.0, PIDTerms=-4.658/ 0.000/ 0.000/-0.000, Output= 0.000(-0.600/0.600), Volt=10.5(9.9)
GlobalTracer.printPidInfo_Info: [4.887] gyroTurnPidCtrl: Target=  90.0, Input=   5.5, Error=  84.5, PIDTerms= 1.690/ 0.000/-0.082/ 0.000, Output= 0.700(-0.700/0.700), Volt=10.5(9.9)
GlobalTracer.printPidInfo_Info: [4.923] encoderXPidCtrl: Target=  -0.4, Input=  -0.4, Error=   0.0, PIDTerms= 0.110/ 0.000/ 0.000/ 0.000, Output= 0.000(-0.700/0.700), Volt=10.6(9.9)
GlobalTracer.printPidInfo_Info: [4.923] encoderYPidCtrl: Target=  -2.1, Input=  -2.1, Error=   0.0, PIDTerms=-4.658/ 0.000/ 0.000/-0.000, Output= 0.000(-0.600/0.600), Volt=10.6(9.9)
GlobalTracer.printPidInfo_Info: [4.923] gyroTurnPidCtrl: Target=  90.0, Input=   7.8, Error=  82.2, PIDTerms= 1.644/ 0.000/-0.100/ 0.000, Output= 0.700(-0.700/0.700), Volt=10.6(9.9)
GlobalTracer.printPidInfo_Info: [4.946] encoderXPidCtrl: Target=  -0.4, Input=  -0.4, Error=   0.0, PIDTerms= 0.110/ 0.000/ 0.000/ 0.000, Output= 0.000(-0.700/0.700), Volt=10.6(9.9)
GlobalTracer.printPidInfo_Info: [4.946] encoderYPidCtrl: Target=  -2.1, Input=  -2.1, Error=   0.0, PIDTerms=-4.658/ 0.000/ 0.000/-0.000, Output= 0.000(-0.600/0.600), Volt=10.6(9.9)
GlobalTracer.printPidInfo_Info: [4.946] gyroTurnPidCtrl: Target=  90.0, Input=   9.5, Error=  80.5, PIDTerms= 1.610/ 0.000/-0.126/ 0.000, Output= 0.700(-0.700/0.700), Volt=10.6(9.9)
GlobalTracer.printPidInfo_Info: [4.975] encoderXPidCtrl: Target=  -0.4, Input=  -0.4, Error=   0.0, PIDTerms= 0.110/ 0.000/ 0.000/ 0.000, Output= 0.000(-0.700/0.700), Volt=10.6(9.9)
GlobalTracer.printPidInfo_Info: [4.975] encoderYPidCtrl: Target=  -2.1, Input=  -2.1, Error=   0.0, PIDTerms=-4.658/ 0.000/ 0.000/-0.000, Output= 0.000(-0.600/0.600), Volt=10.6(9.9)
GlobalTracer.printPidInfo_Info: [4.975] gyroTurnPidCtrl: Target=  90.0, Input=  11.3, Error=  78.7, PIDTerms= 1.574/ 0.000/-0.129/ 0.000, Output= 0.700(-0.700/0.700), Volt=10.6(9.9)
GlobalTracer.printPidInfo_Info: [4.998] encoderXPidCtrl: Target=  -0.4, Input=  -0.4, Error=   0.0, PIDTerms= 0.110/ 0.000/ 0.000/ 0.000, Output= 0.000(-0.700/0.700), Volt=10.7(9.9)
GlobalTracer.printPidInfo_Info: [4.998] encoderYPidCtrl: Target=  -2.1, Input=  -2.1, Error=   0.0, PIDTerms=-4.658/ 0.000/ 0.000/-0.000, Output= 0.000(-0.600/0.600), Volt=10.7(9.9)
GlobalTracer.printPidInfo_Info: [4.998] gyroTurnPidCtrl: Target=  90.0, Input=  13.4, Error=  76.6, PIDTerms= 1.532/ 0.000/-0.153/ 0.000, Output= 0.700(-0.700/0.700), Volt=10.7(9.9)
GlobalTracer.printPidInfo_Info: [5.020] encoderXPidCtrl: Target=  -0.4, Input=  -0.4, Error=   0.0, PIDTerms= 0.110/ 0.000/ 0.000/ 0.000, Output= 0.000(-0.700/0.700), Volt=10.7(9.9)
GlobalTracer.printPidInfo_Info: [5.020] encoderYPidCtrl: Target=  -2.1, Input=  -2.1, Error=   0.0, PIDTerms=-4.658/ 0.000/ 0.000/-0.000, Output= 0.000(-0.600/0.600), Volt=10.7(9.9)
GlobalTracer.printPidInfo_Info: [5.020] gyroTurnPidCtrl: Target=  90.0, Input=  14.5, Error=  75.5, PIDTerms= 1.509/ 0.000/-0.078/ 0.000, Output= 0.700(-0.700/0.700), Volt=10.7(9.9)
GlobalTracer.printPidInfo_Info: [5.043] encoderXPidCtrl: Target=  -0.4, Input=  -0.4, Error=   0.0, PIDTerms= 0.110/ 0.000/ 0.000/ 0.000, Output= 0.000(-0.700/0.700), Volt=10.7(9.9)
GlobalTracer.printPidInfo_Info: [5.043] encoderYPidCtrl: Target=  -2.1, Input=  -2.1, Error=   0.0, PIDTerms=-4.658/ 0.000/ 0.000/-0.000, Output= 0.000(-0.600/0.600), Volt=10.7(9.9)
GlobalTracer.printPidInfo_Info: [5.043] gyroTurnPidCtrl: Target=  90.0, Input=  17.0, Error=  73.0, PIDTerms= 1.460/ 0.000/-0.193/ 0.000, Output= 0.700(-0.700/0.700), Volt=10.7(9.9)
GlobalTracer.printPidInfo_Info: [5.067] encoderXPidCtrl: Target=  -0.4, Input=  -0.4, Error=   0.0, PIDTerms= 0.110/ 0.000/ 0.000/ 0.000, Output= 0.000(-0.700/0.700), Volt=10.9(9.9)
GlobalTracer.printPidInfo_Info: [5.067] encoderYPidCtrl: Target=  -2.1, Input=  -2.1, Error=   0.0, PIDTerms=-4.658/ 0.000/ 0.000/-0.000, Output= 0.000(-0.600/0.600), Volt=10.9(9.9)
GlobalTracer.printPidInfo_Info: [5.067] gyroTurnPidCtrl: Target=  90.0, Input=  18.3, Error=  71.7, PIDTerms= 1.433/ 0.000/-0.099/ 0.000, Output= 0.700(-0.700/0.700), Volt=10.9(9.9)
GlobalTracer.printPidInfo_Info: [5.107] encoderXPidCtrl: Target=  -0.4, Input=  -0.4, Error=   0.0, PIDTerms= 0.110/ 0.000/ 0.000/ 0.000, Output= 0.000(-0.700/0.700), Volt=10.8(9.9)
GlobalTracer.printPidInfo_Info: [5.107] encoderYPidCtrl: Target=  -2.1, Input=  -2.1, Error=   0.0, PIDTerms=-4.658/ 0.000/ 0.000/-0.000, Output= 0.000(-0.600/0.600), Volt=10.8(9.9)
GlobalTracer.printPidInfo_Info: [5.107] gyroTurnPidCtrl: Target=  90.0, Input=  21.1, Error=  68.9, PIDTerms= 1.377/ 0.000/-0.131/ 0.000, Output= 0.700(-0.700/0.700), Volt=10.8(9.9)
GlobalTracer.printPidInfo_Info: [5.161] encoderXPidCtrl: Target=  -0.4, Input=  -0.4, Error=   0.0, PIDTerms= 0.110/ 0.000/ 0.000/ 0.000, Output= 0.000(-0.700/0.700), Volt=10.9(9.9)
GlobalTracer.printPidInfo_Info: [5.161] encoderYPidCtrl: Target=  -2.1, Input=  -2.1, Error=   0.0, PIDTerms=-4.658/ 0.000/ 0.000/-0.000, Output= 0.000(-0.600/0.600), Volt=10.9(9.9)
GlobalTracer.printPidInfo_Info: [5.161] gyroTurnPidCtrl: Target=  90.0, Input=  25.8, Error=  64.2, PIDTerms= 1.284/ 0.000/-0.154/ 0.000, Output= 0.700(-0.700/0.700), Volt=10.9(9.9)
GlobalTracer.printPidInfo_Info: [5.208] encoderXPidCtrl: Target=  -0.4, Input=  -0.4, Error=   0.0, PIDTerms= 0.110/ 0.000/ 0.000/ 0.000, Output= 0.000(-0.700/0.700), Volt=11.1(9.9)
GlobalTracer.printPidInfo_Info: [5.208] encoderYPidCtrl: Target=  -2.1, Input=  -2.1, Error=   0.0, PIDTerms=-4.658/ 0.000/ 0.000/-0.000, Output= 0.000(-0.600/0.600), Volt=11.1(9.9)
GlobalTracer.printPidInfo_Info: [5.208] gyroTurnPidCtrl: Target=  90.0, Input=  30.7, Error=  59.3, PIDTerms= 1.185/ 0.000/-0.182/ 0.000, Output= 0.700(-0.700/0.700), Volt=11.1(9.9)
